TeamId,TeamName,SubmissionDate,Score
6068702,fedesoriano,"2023-05-22 20:06:49",0.00000
5284990,"Vladimir Ryabchenko","2023-05-21 07:29:48",0.00000
10072053,MLCV,"2023-05-24 05:23:12",0.00000
10291801,"Quantum Adventurers","2023-05-17 01:44:53",0.00043
10401697,"[Deleted] 35eace0b-b936-449c-9b6f-74c59e5326ca","2023-05-16 04:41:52",0.00043
10060760,"Thomas HughesUoH","2023-03-25 16:57:36",0.00044
10123886,NUDTDMSJ,"2023-03-27 12:09:54",0.00044
10130919,"БУТОРИН Василий","2023-03-28 15:18:20",0.00044
10131933,my5t1c,"2023-03-30 04:31:47",0.00044
9978634,kalakagat,"2023-03-28 16:12:52",0.00044
10135675,NUDTDMZZ,"2023-04-12 13:05:55",0.00044
8113124,serkanp,"2023-05-21 15:30:37",0.00044
10054728,xienasijia,"2023-04-02 10:14:35",0.00044
9526971,"Pedro Miguel Vitorino","2023-04-02 18:40:25",0.00044
9830286,"Celia Yao","2023-05-12 04:33:00",0.00044
10166368,"Fatbardh Smajli","2023-04-05 01:07:19",0.00044
10100013,"Tang Xiao Liang","2023-04-05 05:36:15",0.00044
10099913,QingboGuo,"2023-04-13 06:44:51",0.00044
9338881,rabbie,"2023-04-05 14:44:25",0.00044
10177916,wangx56,"2023-04-05 20:00:56",0.00044
10048249,"AnastasiyaVolkovaf ","2023-04-06 07:23:55",0.00044
10163920,Lhengy,"2023-04-06 14:27:41",0.00044
10056310,mxsaad,"2023-04-08 21:04:19",0.00044
10199729,wpennyhxy,"2023-04-10 06:34:08",0.00044
10099998,liukun1,"2023-04-13 05:58:25",0.00044
9876374,"[Deleted] a64b1917-379e-4ef5-9059-b34cd6096e6a","2023-04-15 08:00:25",0.00044
10154956,"Jivin Vaidya","2023-04-16 13:34:13",0.00044
10240888,"PARISA PRABSIANG","2023-05-17 13:52:00",0.00044
10241495,Allen_Wpr,"2023-05-24 04:33:31",0.00044
9008189,Sdj123456,"2023-04-18 12:08:19",0.00044
10087503,CheemsZz1223,"2023-04-20 03:37:56",0.00044
8783347,"Wanderer Stranger","2023-04-26 19:20:36",0.00044
9757646,"Mihir Patel #4","2023-05-09 22:18:51",0.00044
9757669,"Karan Mehta #2","2023-05-10 00:03:13",0.00044
10303075,"xu xiangyu","2023-04-28 06:35:34",0.00044
10310689,TheOmen,"2023-05-02 02:21:48",0.00044
10316261,"Vladimir Kirus","2023-05-01 11:07:05",0.00044
10200280,eno3940,"2023-05-03 04:41:20",0.00044
10325974,"fu rrnn","2023-05-03 08:43:41",0.00044
10294667,"Sean Chang #2","2023-05-04 06:19:18",0.00044
10327794,NUDTDMZCJ,"2023-05-03 12:04:31",0.00044
10318091,"Sahithi Paruchuri","2023-05-11 20:40:53",0.00044
7110709,"YIYANG HAO","2023-05-09 00:52:49",0.00044
10063912,"THITIWAT RUANGSAKORN","2023-05-11 02:52:18",0.00044
10376859,bestwater,"2023-05-22 01:07:49",0.00044
7598530,IS688_Team_CVSS,"2023-05-12 20:51:56",0.00044
8558182,"💥Tesla, Inc.💥","2023-05-13 01:25:43",0.00044
10393754,"Mr. Sohel Rana #2","2023-05-14 20:06:32",0.00044
10345138,"Nathan Bitu","2023-05-15 00:41:22",0.00044
10401201,rookiewxr,"2023-05-16 01:44:28",0.00044
10053825,SIT_DM_INT_GROUP,"2023-05-18 20:35:50",0.00044
10410683,"Aphisara Panthawornnawin","2023-05-17 13:26:58",0.00044
10251303,"Worada Damrongratnuwong","2023-05-17 13:30:51",0.00044
10054604,Bioxes,"2023-05-17 18:35:49",0.00044
9414385,RArara108,"2023-05-18 03:34:01",0.00044
9030528,"Aysel Rajabli","2023-05-18 12:20:02",0.00044
10364715,"PKU IM Python Analysis Group","2023-05-19 00:35:26",0.00044
10423526,Isthisarjun,"2023-05-19 18:35:17",0.00044
8885102,mburakerkn,"2023-05-21 11:26:06",0.00044
792986,smota,"2023-05-20 09:25:08",0.00044
8818527,"Yagli Azmi","2023-05-21 20:18:18",0.00044
10436096,WhereAmiiii,"2023-05-22 12:24:47",0.00044
9371418,"Allena Venkata Sai abhishek","2023-05-23 01:27:53",0.00044
9886132,"Sravan Allaparthi","2023-05-08 04:17:13",0.00586
10234243,BiuBiuGun~❤,"2023-05-23 17:21:49",0.00586
9712325,"basset kerouche","2023-04-17 16:00:18",0.02953
