,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
Blog Feedback,Failed,9.521604549817683,17.332421320375538,Failed,9.512373121965233,9.512305157360105,9.52177415714593,9.522703760227317
Communities and Crime,0.09730560146874517,0.09730513661329375,0.14710267546737893,0.7694025174803671,0.19721986405943714,0.1972199730022557,0.09730513661316467,0.09730513661316467
Facebook Comment Volume,Failed,35.77184345751016,57.49934580578431,Failed,32.739683933588594,32.739685129637046,35.77184345749829,35.77184345749829
Geographical Origin of Music,Failed,37.46502953797649,50.12321127945173,Failed,37.465021394455775,37.46500289550985,37.4650295379765,37.4650295379765
Hailstone,Failed,0.3716804378817248,0.4686691409192242,1642.746028419656,0.37875746813818895,0.3787574225475437,0.37168043788172317,0.37168043788172317
Hourly Energy Demand,Failed,6.180202903319225,9.803275028864146,Failed,9.230450085299186,9.230450428867234,6.180202903319218,6.180202903319218
KEGG Metabolic Pathway,Failed,0.9258694593348776,11.743988734702903,0.9262175085985229,16.91806346592406,16.91806346346202,0.9258694591699033,0.9266733507470957
Online News Popularity,Failed,3072.8034805215043,6567.112759322503,3363.3096039766997,3139.787965183727,3139.788442353451,4516520.045589437,3072.7901164786426
Residential Building,Failed,20.1999062653419,428.63406707442994,84396.44744626089,38.45657095579034,38.548263455251956,20.199906254321338,20.199906254321338
Superconductivity,13.343496354296892,13.343496354298622,26.36090167091114,13.343499812989586,17.784002979960828,17.784001792117426,13.343496354297358,13.343496354297358
