TeamId,TeamName,SubmissionDate,Score
10319326,Sergey Saharovskiy,5/14/2023 14:43,327.38765
10321063,aci.patlican,5/15/2023 5:52,328.04455
10319543,hikahika,5/15/2023 15:16,328.30696
10319260,Matt OP,5/15/2023 22:37,328.37945
10319470,Anju Bala,5/15/2023 14:39,328.44243
10370273,Shao Ledi,5/15/2023 11:42,328.6041
10319237,Ravi Ramakrishnan,5/15/2023 19:30,328.60976
10319293,epikt,5/15/2023 22:20,328.65515
10319572,Spiritmilk,5/13/2023 13:56,328.66754
10339110,gagandeep192001,5/15/2023 12:20,328.69518
10322551,Laurent Pourchot,5/14/2023 16:00,328.71346
10332449,EFE,5/15/2023 20:27,328.73667
10329559,aldparis,5/15/2023 20:15,328.75237
10355485,tarutaru_mayo,5/15/2023 4:18,328.75923
10327610,Jimin Wang,5/15/2023 2:51,328.76619
10319295,Oscar Aguilar,5/15/2023 16:12,328.78249
10323538,Itachi Uchiha,5/15/2023 16:38,328.79028
10353311,SiddhVR,5/15/2023 22:29,328.79169
10348360,Satya,5/15/2023 10:31,328.79169
10391141,[Deleted] 44f7d922-f1e4-43f4-909b-1e81ebf5de9c,5/15/2023 20:40,328.79705
10359306,Yunus Emre Kayaoğlu,5/15/2023 21:17,328.8126
10320432,GossetEnjoyer,5/15/2023 13:26,328.81574
10354578,Mykhailo Savchenko,5/15/2023 20:50,328.81757
10398354,Sujeeth reddy K,5/15/2023 20:46,328.81828
10323442,Vikram,5/14/2023 3:37,328.81828
10319634,Zhi Zheng,5/14/2023 19:01,328.81828
10384930,nooggler31oct,5/13/2023 9:09,328.81828
10336891,Kuriboh,5/13/2023 12:38,328.81828
10375540,Data Blockers,5/15/2023 12:01,328.81828
10326121,Madhvendra Singh,5/13/2023 10:35,328.81828
10345649,zhaocmpersonal,5/15/2023 5:40,328.81828
10386676,Guy Reading,5/13/2023 11:41,328.81828
10324186,Dmitry Sirenchenko,5/15/2023 19:07,328.81828
10333498,KISSEL,5/15/2023 10:36,328.81828
10387305,mountains do not let dust,5/13/2023 13:54,328.81828
10321041,DaLazzyyHackers,5/15/2023 13:24,328.81828
10330108,ravi tanwar,5/15/2023 16:43,328.81828
10332391,Sai Kiran00,5/13/2023 18:22,328.81828
10340520,pineapple,5/15/2023 12:34,328.81828
